id,Task-ID,sequence,p1_rt,p2_rt,task,choices,response,question,rt_ms,response_type,domain,age,education,gender,handedness,maths_good,(1-7)motivation-serious,(1-7)motivation-intuition,(1-7)motivation-logical,(1-7)motivation-exhausted,(1-7)motivation-like,navigator_good,orientation_good,profession,thought_process,response_type,domain
1,1,11,3380,3023,north;mall;station/north;station;bar,south;bar;mall|north;bar;mall|east;bar;mall|west;bar;mall|south-east;bar;mall|south-west;bar;mall|north-east;bar;mall|north-west;bar;mall,south;bar;mall,The bar is _____ of the mall.,2553,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,10,52,2379,5230,north-east;school;bank/north-east;bank;gym,south;gym;school|north;gym;school|east;gym;school|west;gym;school|south-east;gym;school|south-west;gym;school|north-east;gym;school|north-west;gym;school,south-west;gym;school,The gym is _____ of the school.,2292,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,11,9,4429,2777,north-east;church;store/east;store;bar,south;bar;church|north;bar;church|east;bar;church|west;bar;church|south-east;bar;church|south-west;bar;church|north-east;bar;church|north-west;bar;church,west;bar;church,The bar is _____ of the church.,3238,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,12,31,4513,4293,north-east;market;gym/south-east;gym;church,south;church;market|north;church;market|east;church;market|west;church;market|south-east;church;market|south-west;church;market|north-east;church;market|north-west;church;market,west;church;market,The church is _____ of the market.,5072,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,13,10,4672,4378,north-east;gym;store/south;store;bank,south;bank;gym|north;bank;gym|east;bank;gym|west;bank;gym|south-east;bank;gym|south-west;bank;gym|north-east;bank;gym|north-west;bank;gym,west;bank;gym,The bank is _____ of the gym.,3297,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,14,63,13191,3375,north-east;gym;store/south-west;store;hotel,south;hotel;gym|north;hotel;gym|east;hotel;gym|west;hotel;gym|south-east;hotel;gym|south-west;hotel;gym|north-east;hotel;gym|north-west;hotel;gym,north-west;hotel;gym,The hotel is _____ of the gym.,3537,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,15,60,3171,4793,north-east;bank;station/west;station;hotel,south;hotel;bank|north;hotel;bank|east;hotel;bank|west;hotel;bank|south-east;hotel;bank|south-west;hotel;bank|north-east;hotel;bank|north-west;hotel;bank,north-west;hotel;bank,The hotel is _____ of the bank.,6928,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,16,44,9244,3124,north-east;bar;museum/north-west;museum;school,south;school;bar|north;school;bar|east;school;bar|west;school;bar|south-east;school;bar|south-west;school;bar|north-east;school;bar|north-west;school;bar,north-west;school;bar,The school is _____ of the bar.,3628,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,17,32,2993,3733,east;school;mall/north;mall;church,south;church;school|north;church;school|east;church;school|west;church;school|south-east;church;school|south-west;church;school|north-east;church;school|north-west;church;school,south;church;school,The church is _____ of the school.,4866,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,18,13,5510,7851,east;station;bar/north-east;bar;hotel,south;hotel;station|north;hotel;station|east;hotel;station|west;hotel;station|south-east;hotel;station|south-west;hotel;station|north-east;hotel;station|north-west;hotel;station,south-west;hotel;station,The hotel is _____ of the station.,2674,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,19,16,3946,6850,east;church;museum/east;museum;store,south;store;church|north;store;church|east;store;church|west;store;church|south-east;store;church|south-west;store;church|north-east;store;church|north-west;store;church,east;store;church,The store is _____ of the church.,4049,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
1,2,47,3962,3610,north;bank;mall/north-east;mall;school,south;school;bank|north;school;bank|east;school;bank|west;school;bank|south-east;school;bank|south-west;school;bank|north-east;school;bank|north-west;school;bank,west;school;bank,The school is _____ of the bank.,1932,single_choice,relational,38,Bachelors,male,right,yes,7,5,6,6,5,yes,yes,Manager,I tried to visualize the map in my head and then prepare for the question on location.,single_choice,relational
